Learning rate;Beta;F-mesure
0.16201542516;0.00180316867055;0.13201058357954026
0.0573836225231;0.00173043957138;0.1157392755150795
0.0715691739674;0.000363079809445;0.11517466604709625
0.241161871278;0.000224467271242;0.09142857268452645
0.0205355355638;0.000272635312734;0.09142857268452645
0.0299583539575;0.00387821549927;0.08642857149243355
0.0247231073458;0.00172340318926;0.08642857149243355
0.0235093219044;0.00204536342768;0.08642857149243355
0.0761335786343;0.00325541643353;0.08642857149243355
0.0534800633567;0.00226193421848;0.08611111119389533
0.00476998992083;0.0537086537131;0.08611111119389533
0.0334199199303;0.000327069671818;0.08611111119389533
0.0689492400624;0.00111459098838;0.08436028
0.02883337626;0.00177150619681;0.0800000011920929
0.0211503454082;0.00123706176955;0.0800000011920929
0.0330556934149;0.00265391928332;0.0800000011920929
0.00215665366183;0.256114315287;0.0759714312851429
0.0123999119932;0.0332438798259;0.07332591
0.00164176527494;0.292220717084;0.0473598
0.000806096773956;0.000179204993506;0.030769231915473937
0.0159387546731;0.00393093221371;0.030769231915473937
0.0110144127593;0.00296201105162;0.011146803
0.00125034006562;0.00390284467708;0.010946082
0.0174069353468;0.00100924893172;0.010711936
0.0169258495983;0.00292970514501;0.010653975
0.000306978134001;0.0304725639825;0.010628654
0.000161765979867;0.797862593852;0.010612673
0.00266850716567;0.476321798978;0.010605814
0.79534723601;0.0193981915291;0.010605814
0.0139472331713;0.0276223861367;0.010605814
0.125329232046;0.148503027193;0.010605814
0.00910526155177;0.357858299176;0.010605814
0.00348285036438;0.000678242022678;0.010605814
0.031651550334;0.153487618728;0.010605814
0.0999966041985;0.809089810204;0.010605814
0.0157947996221;0.0536568679775;0.010605814
0.000603103870365;0.000313252824478;0.010605814
0.00129637884638;0.000282393618867;0.010605814
0.687261102415;0.342409397879;0.010605814
0.0203064432069;0.144829432286;0.010605814
0.00707657891131;0.351598566756;0.010605814
0.342162926193;0.0114971271329;0.010605814
0.462361367457;0.0270090043142;0.010605814
0.059592854831;0.0214087949862;0.010605814
0.347442394603;0.690265823536;0.010605814
0.00630835851446;0.0092698435743;0.010605814
0.113157555338;0.07717447872;0.010605814
0.410795573922;0.440812460261;0.010605814
0.0576778818854;0.186603681918;0.010605814
0.408195135929;0.00998615552632;0.010605814
0.00428595113407;0.00215303958741;0.010605814
0.294540803015;0.0406663623845;0.010605814
0.00012243603398;0.000634843574169;0.010605814
0.000133130495723;0.000634981964542;0.010605814
0.000410390010874;0.000929620834924;0.010605814
0.55953359734;0.0117905682887;0.010605814
0.00155824295535;0.000384176881125;0.010605814
0.0926275456277;0.647906198622;0.010605814
0.0561460049964;0.0784935047656;0.010605814
0.0125950320306;0.985061104128;0.010605814
0.42386617461;0.0084575116659;0.010605814
0.000733067172581;0.000674107774629;0.010605814
0.00950681203889;0.000299787529965;0.010605814
0.0072215873476;0.243945345038;0.010605814
0.000918228985982;0.99804625222;0.010605814
0.0574089826206;0.47144608247;0.010605814
0.116423720908;0.0417159158317;0.010605814
0.490029931712;0.458251153682;0.010605814
0.000147671116935;0.0313954812481;0.010605814
0.00112425913593;0.0834179932084;0.010605814
0.0112994338586;0.0832901922149;0.010605814
0.494703010766;0.0106791813195;0.010605814
0.0165196022996;0.325309057337;0.010605814
0.448987581269;0.0333206755856;0.010605814
0.000418610294601;0.000497226604238;0.010605814
0.00162874498453;0.00243580176259;0.010605814
0.37695776611;0.430781598529;0.010605814
0.500075156636;0.206585053928;0.010605814
0.0563199660814;0.0381527078357;0.010605814
0.01624407913;0.474739406575;0.010605814
0.613643669839;0.0653482298338;0.010605814
0.000881336410747;0.000138648847277;0.010605814
0.000712198296931;0.12947711887;0.010605814
0.000166205352042;0.00040845649683;0.010605814
0.000109893358213;0.000512783042548;0.009925066
0.000323340087171;0.321660193976;0.008901057
0.000125523359806;0.342531474565;0.001216792268678546
0.000132992784242;0.176200518746;0.0
0.00102420384919;0.11449369449;0.0
0.00034537958418;0.00206059780163;0.0
0.000433446559532;0.00049021683205;0.0
0.000179967885902;0.773618106546;0.0
0.000272332892478;0.021515221814;0.0
0.00563793608383;0.000205342898765;0.0
0.000593425840748;0.000114788297494;0.0
0.331484507866;0.00014547652094;0.0
0.000212751931903;0.209315969731;0.0
0.000806052397643;0.0137340512239;0.0
0.000547553574276;0.00760786791112;0.0
0.00327079537216;0.00233389820876;0.0
0.000223334098374;0.000465924813835;0.0
0.000145570204797;0.019489381763;0.0
0.384571064467;0.000595847843418;0.0
0.0012513899287;0.00105070081512;0.0
0.00114199501325;0.0145880767674;0.0
0.000391165716576;0.013687444153;0.0
0.000130878591813;0.171357219172;0.0
